"path","index","name","family","style","weight","width","italic","monospace"
"C:\WINDOWS\Fonts\SitkaZ.ttc",3,"SitkaHeading-BoldItalic","Sitka Heading","Bold Italic","bold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\SitkaZ.ttc",4,"SitkaDisplay-BoldItalic","Sitka Display","Bold Italic","bold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\SitkaZ.ttc",5,"SitkaBanner-BoldItalic","Sitka Banner","Bold Italic","bold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\SitkaI.ttc",0,"SitkaSmall-Italic","Sitka Small","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\SitkaI.ttc",1,"SitkaText-Italic","Sitka Text","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\SitkaI.ttc",2,"SitkaSubheading-Italic","Sitka Subheading","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\SitkaI.ttc",3,"SitkaHeading-Italic","Sitka Heading","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\SitkaI.ttc",4,"SitkaDisplay-Italic","Sitka Display","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\SitkaI.ttc",5,"SitkaBanner-Italic","Sitka Banner","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\sylfaen.ttf",0,"Sylfaen","Sylfaen","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\symbol.ttf",0,"SymbolMT","Symbol","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\tahoma.ttf",0,"Tahoma","Tahoma","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\tahomabd.ttf",0,"Tahoma-Bold","Tahoma","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\times.ttf",0,"TimesNewRomanPSMT","Times New Roman","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\timesbd.ttf",0,"TimesNewRomanPS-BoldMT","Times New Roman","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\timesbi.ttf",0,"TimesNewRomanPS-BoldItalicMT","Times New Roman","Bold Italic","bold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\timesi.ttf",0,"TimesNewRomanPS-ItalicMT","Times New Roman","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\trebuc.ttf",0,"TrebuchetMS","Trebuchet MS","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\trebucbd.ttf",0,"TrebuchetMS-Bold","Trebuchet MS","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\trebucbi.ttf",0,"Trebuchet-BoldItalic","Trebuchet MS","Bold Italic","bold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\trebucit.ttf",0,"TrebuchetMS-Italic","Trebuchet MS","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\verdana.ttf",0,"Verdana","Verdana","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\verdanab.ttf",0,"Verdana-Bold","Verdana","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\verdanaz.ttf",0,"Verdana-BoldItalic","Verdana","Bold Italic","bold","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\verdanai.ttf",0,"Verdana-Italic","Verdana","Italic","normal","normal",TRUE,FALSE
"C:\WINDOWS\Fonts\webdings.ttf",0,"Webdings","Webdings","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\wingding.ttf",0,"Wingdings-Regular","Wingdings","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\YuGothB.ttc",0,"YuGothic-Bold","Yu Gothic","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\YuGothB.ttc",1,"YuGothicUI-Bold","Yu Gothic UI","Bold","bold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\YuGothB.ttc",2,"YuGothicUI-Semibold","Yu Gothic UI","Semibold","semibold","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\YuGothL.ttc",0,"YuGothic-Light","Yu Gothic","Light","light","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\YuGothL.ttc",1,"YuGothicUI-Light","Yu Gothic UI","Light","light","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\YuGothM.ttc",0,"YuGothic-Medium","Yu Gothic","Medium","medium","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\YuGothM.ttc",1,"YuGothicUI-Regular","Yu Gothic UI","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\YuGothR.ttc",0,"YuGothic-Regular","Yu Gothic","Regular","normal","normal",FALSE,FALSE
"C:\WINDOWS\Fonts\YuGothR.ttc",1,"YuGothicUI-Semilight","Yu Gothic UI","Semilight",NA,"normal",FALSE,FALSE
"C:\WINDOWS\Fonts\COURE.FON",0,"","Courier","Regular",NA,NA,FALSE,TRUE
"C:\WINDOWS\Fonts\COURE.FON",1,"","Courier","Regular",NA,NA,FALSE,TRUE
"C:\WINDOWS\Fonts\COURE.FON",2,"","Courier","Regular",NA,NA,FALSE,TRUE
"C:\WINDOWS\Fonts\COURF.FON",0,"","Courier","Regular",NA,NA,FALSE,TRUE
"C:\WINDOWS\Fonts\COURF.FON",1,"","Courier","Regular",NA,NA,FALSE,TRUE
"C:\WINDOWS\Fonts\COURF.FON",2,"","Courier","Regular",NA,NA,FALSE,TRUE
"C:\WINDOWS\Fonts\SERIFE.FON",0,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SERIFE.FON",1,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SERIFE.FON",2,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SERIFE.FON",3,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SERIFE.FON",4,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SERIFE.FON",5,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SERIFF.FON",0,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SERIFF.FON",1,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SERIFF.FON",2,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SERIFF.FON",3,"","MS Serif","Regular",NA,NA,FALSE,FALSE
"C:\WINDOWS\Fonts\SERIFF.FON",4,"","MS Serif","Regular",NA,NA,FALSE,FALSE
